HR01;HR02;Suma;Suma_Eduardo;Check
63;84;138;138;0
65;84;144;144;0
60;81;122;122;0
49;79;119;119;0
49;78;118;118;0
45;82;110;110;0
56;74;124;124;0
59;84;133;133;0
66;78;136;136;0
39;74;97;97;0
54;79;133;133;0
45;88;116;116;0
47;69;122;122;0
50;74;121;121;0
43;71;102;102;0
55;68;123;123;0
65;74;134;134;0
47;66;119;119;0
47;66;117;117;0
54;68;124;124;0
62;71;122;122;0
49;68;125;125;0
55;84;129;129;0
47;76;107;107;0
56;81;120;120;0
41;73;104;104;0
51;83;121;121;0
42;75;103;103;0
56;71;113;113;0
64;77;128;128;0
51;86;112;112;0
56;76;119;119;0
36;72;88;88;0
51;75;125;125;0
59;79;125;125;0
52;62;120;120;0
44;70;115;115;0
46;69;107;107;0
50;65;109;109;0
44;68;114;114;0
42;74;104;104;0
39;70;81;81;0
41;58;110;110;0
40;79;93;93;0
37;71;104;104;0
63;75;114;114;0
49;71;118;118;0
39;59;102;102;0
40;68;102;102;0
32;69;90;90;0
46;72;104;104;0
44;70;102;102;0
36;70;103;103;0
40;60;88;88;0
48;76;112;112;0
36;74;94;94;0
34;60;103;103;0
46;64;106;106;0
44;63;92;92;0
46;70;98;98;0
38;61;89;89;0
43;57;101;101;0
40;64;97;97;0
46;61;105;105;0
56;63;123;123;0
42;52;94;94;0
46;74;99;99;0
41;66;106;106;0
21;68;73;73;0
33;71;101;101;0
35;61;86;86;0
46;59;106;106;0
46;70;97;97;0
39;62;100;100;0
40;42;85;85;0
39;69;86;86;0
38;53;98;98;0
36;67;88;88;0
51;51;110;110;0
33;69;87;87;0
35;63;95;95;0
32;62;93;93;0
29;58;84;84;0
39;58;87;87;0
35;58;88;88;0
38;67;86;86;0
29;48;79;79;0
37;64;89;89;0
33;58;87;87;0
52;69;121;121;0
35;60;89;89;0
21;48;68;68;0
39;52;97;97;0
32;51;83;83;0
25;58;95;95;0
35;57;89;89;0
35;59;86;86;0
30;67;76;76;0
38;52;76;76;0
36;53;87;87;0
36;65;89;89;0
32;52;75;75;0
34;68;90;90;0
20;51;76;76;0
35;60;84;84;0
42;51;94;94;0
32;61;79;79;0
40;45;83;83;0
39;47;92;92;0
36;60;87;87;0
32;52;74;74;0
35;59;83;83;0
36;54;89;89;0
35;60;86;86;0
34;61;103;103;0
27;55;61;61;0
36;48;86;86;0
30;53;86;86;0
35;48;79;79;0
29;50;79;79;0
38;52;81;81;0
39;54;90;90;0
24;69;73;73;0
23;54;75;75;0
27;47;66;66;0
37;58;84;84;0
20;51;59;59;0
32;70;86;86;0
34;54;86;86;0
34;51;81;81;0
29;46;69;69;0
27;38;91;91;0
27;51;84;84;0
33;53;85;85;0
30;43;66;66;0
33;56;83;83;0
29;56;64;64;0
25;49;71;71;0
33;52;83;83;0
23;47;69;69;0
32;43;82;82;0
32;53;82;82;0
27;51;61;61;0
27;42;63;63;0
27;48;66;66;0
34;53;63;63;0
37;51;80;80;0
31;69;67;67;0
23;34;76;76;0
29;50;71;71;0
35;56;73;73;0
30;44;66;66;0
29;50;67;67;0
30;43;84;84;0
22;51;64;64;0
31;49;74;74;0
30;52;63;63;0
28;39;68;68;0
32;47;64;64;0
22;39;61;61;0
27;54;60;60;0
26;52;72;72;0
26;47;68;68;0
26;40;63;63;0
31;64;75;75;0
33;57;77;77;0
21;52;62;62;0
26;36;63;63;0
26;50;69;69;0
26;35;71;71;0
25;46;64;64;0
19;50;61;61;0
17;46;57;57;0
25;50;71;71;0
24;50;64;64;0
27;34;80;80;0
25;36;66;66;0
22;39;58;58;0
23;29;68;68;0
19;43;57;57;0
18;36;60;60;0
18;53;63;63;0
22;42;55;55;0
25;38;55;55;0
23;36;54;54;0
22;38;57;57;0
18;54;58;58;0
16;42;45;45;0
19;43;44;44;0
22;33;59;59;0
25;40;65;65;0
17;32;46;46;0
21;39;60;60;0
23;33;72;72;0
23;46;51;51;0
21;42;52;52;0
20;37;55;55;0
14;44;50;50;0
19;44;62;62;0
24;41;44;44;0
23;37;52;52;0
19;43;50;50;0
18;45;55;55;0
18;39;54;54;0
27;42;55;55;0
24;40;63;63;0
24;46;48;48;0
20;40;59;59;0
18;53;53;53;0
17;41;60;60;0
18;36;57;57;0
15;45;51;51;0
14;38;44;44;0
19;42;46;46;0
15;45;47;47;0
18;33;64;64;0
18;30;55;55;0
15;31;52;52;0
18;35;48;48;0
19;40;49;49;0
20;29;54;54;0
23;25;58;58;0
18;37;44;44;0
15;40;46;46;0
15;29;49;49;0
20;39;54;54;0
21;49;54;54;0
20;28;64;64;0
13;31;45;45;0
18;35;44;44;0
17;36;53;53;0
12;43;40;40;0
12;20;55;55;0
16;29;40;40;0
15;31;49;49;0
19;37;49;49;0
14;36;44;44;0
21;28;49;49;0
17;39;45;45;0
22;24;59;59;0
17;39;49;49;0
17;35;51;51;0
16;43;50;50;0
21;39;42;42;0
13;36;34;34;0
19;30;59;59;0
20;27;61;61;0
15;32;45;45;0
15;46;46;46;0
16;37;52;52;0
7;37;41;41;0
10;30;47;47;0
16;30;46;46;0
11;34;34;34;0
14;35;50;50;0
15;26;49;49;0
15;31;50;50;0
21;34;59;59;0
12;34;37;37;0
18;33;54;54;0
18;44;44;44;0
19;32;41;41;0
14;26;58;58;0
7;36;52;52;0
14;28;41;41;0
20;43;48;48;0
16;24;42;42;0
11;34;36;36;0
13;30;41;41;0
12;30;32;32;0
15;28;43;43;0
18;28;42;42;0
13;37;32;32;0
18;32;39;39;0
12;34;57;57;0
22;34;57;57;0
12;21;42;42;0
10;21;33;33;0
11;40;41;41;0
14;41;50;50;0
11;30;41;41;0
17;31;51;51;0
18;36;57;57;0
13;34;40;40;0
10;37;40;40;0
13;30;33;33;0
16;23;41;41;0
14;36;36;36;0
11;34;41;41;0
12;35;54;54;0
14;38;48;48;0
